Date / Time,City,State,Shape,Duration,Summary,Posted
8/21/2015 23:25:00,Poynette,WI,Triangle,30 seconds,"Triangle craft with absolutely no sound traveling slow and low. 6 glowing lights, 3 of which were larger on each end of the triangle.",8/27/2015
8/21/2015 23:20:00,Bellevue,NE,Triangle,3 minutes,"Large triangular shaped object, estimated to be 500-750 ft across, gold colored, moving slowly, no sound.",8/27/2015
8/21/2015 22:30:00,Burlington (Canada),ON,Circle,"10 minutes, or less",20 orange ufos in sky. Always believed finally see for my own eyes.,8/27/2015
8/21/2015 22:05:00,Saint Cloud,MN,Oval,5-10 minutes,Two orange objects fly from south to north proceeding a helicopter with a spotlight hovering near the area.,8/27/2015
8/21/2015 22:00:00,Corunna,MI,Oval,1 minute,Four oval shapes in a perfect square formation. They did not move and three disappeared then 30 seconds later the lone one took off.,8/27/2015
8/21/2015 21:18:00,Charlotte,NC,Unknown,2 minutes,Light formation near uptown Charlotte.,9/2/2015
8/21/2015 21:15:00,Jonesboro,IL,Light,5 minutes,"Directly south I watched a solid white light descend from sky from about 80°, moved really slowly.",8/27/2015
8/21/2015 21:10:00,Dallas (DFW Airport),TX,Light,45 seconds,"One bright light in slow downward trayectory, Dimmed away to orange ball; then, orange ring; then, off.",8/27/2015
8/21/2015 20:55:00,Saint Petersburg,FL,Triangle,3 minutes,"Stationary, hovering triangular craft with lights.",8/27/2015
8/21/2015 20:50:00,North Babylon,NY,,30 seconds,"3 orbs in a triangle shape, moving SW. They disappear, and then reappear 3 seconds later, traveling the same path at 850 pm.",8/27/2015
8/21/2015 20:35:00,Pueblo,CO,Rectangle,3 minutes,Me and my children got out of the car and noticed a flickering yellow light. The light dimmed down to just a black blocky type thing in,8/27/2015
8/21/2015 20:00:00,Los Angeles,CA,Light,45 minutes,Red & green lights above the Hollywood Bowl.,9/2/2015
8/21/2015 18:45:00,Southgate,CA,Cigar,8 minutes,This Anomoly Transformed Continously From An Orb to Cigar Shaped UFO,8/27/2015
8/21/2015 17:00:00,Hwy 63 (northbound)(Canada),AB,Sphere,2 seconds,Saw a huge dark grey sphere thing coming out of the clouds and going back in. In one kind of movement. It was daylight,8/27/2015
8/21/2015 5:30:00,Oakdale,CA,Disk,5 minutes,"Saucer shaped ufo hovering in Oakdale, CA, and shoots off in sky and disappears.",8/27/2015
8/21/2015 0:17:00,Hixson,TN,Light,3 minutes,"Military helicopter chasing orange star type object over small suburb in Chattanooga, TN.",8/27/2015
8/21/2015 0:10:00,College Station,TX,Light,1 minute,Military helicopter following solid white orb.,8/27/2015
8/20/2015 23:00:00,Rather not say.,IL,Changing,4 1/2 hours,While outside for a smoke I noticed an unusually large and very bright light moving very slowly towards town. The thing that interested,8/27/2015
8/20/2015 23:00:00,Commerce City,CO,Light,All night,"Dancing stars in the sky. ((NUFORC Note: We suspect ""twinkling"" stars, but cannot be certain. PD))",8/27/2015
8/20/2015 23:00:00,Whiskey Creek/Parksville (Canada),BC,Changing,1 hour,Three wondering red patterns in the sky.,8/27/2015
